Index,Original Code,Program Length,Adversarial Code,True Label,Original Prediction,Adv Prediction,Is Success,Extracted Names,Importance Score,Greedy No. Changed Names,Greedy No. Changed Tokens,Replaced Names,GA No. Changed Names,GA No. Changed Tokens,Attack Type,Query Times,Time Cost,Suc Type,Insert Words,orig prob,current prob
0,"public void serialize(LittleEndianOutput out) {out.writeShort(field_1_vcenter);}
",16,"public void store(LittleEndianOutput bos) {bos.writeShort(field_1_vcenter);}
","public override void Serialize(ILittleEndianOutput out1){out1.WriteShort(field_1_vcenter);}
","public override void Serialize(ILittleEndianOutput out1){out1.WriteShort(field_1_vcenter);}
","public override void Store(ILittleEndianOutput bos){bos.WriteShort(field_1_vcenter);}
",-1,"serialize,out","serialize:0.5190907300583254,out:0.8089991563424169,",0,0,"out:bos,serialize:store,",0,0,Greedy,19,0.09099539518356323,failed,[],1.0,0.6396861490546798
1,"public void addAll(BlockList<T> src) {if (src.size == 0)return;int srcDirIdx = 0;for (; srcDirIdx < src.tailDirIdx; srcDirIdx++)addAll(src.directory[srcDirIdx], 0, BLOCK_SIZE);if (src.tailBlkIdx != 0)addAll(src.tailBlock, 0, src.tailBlkIdx);}
",75,"public void append(BlockList<T> process) {if (process.size == 0)return;int n = 0;for (; n < process.tailDirIdx; n++)append(process.directory[n], 0, BLOCK_SIZE);if (process.tailBlkIdx != 0)append(process.tailBlock, 0, process.tailBlkIdx);}
","public virtual void AddAll(NGit.Util.BlockList<T> src){if (src.size == 0){return;}int srcDirIdx = 0;for (; srcDirIdx < src.tailDirIdx; srcDirIdx++){AddAll(src.directory[srcDirIdx], 0, BLOCK_SIZE);}if (src.tailBlkIdx != 0){AddAll(src.tailBlock, 0, src.tailBlkIdx);}}
","public virtual void AddAll(BlockList<T> src){if (src.Size == 0){return;}int srcDirIdx = 0;for (; srcDirIdx < src.tailDirIdx; srcDirIdx++){AddAll(src.directory[srcDirIdx], 0, BLOCK_SIZE);}if (src.tailBlkIdx!= 0){AddAll(src.tailBlock, 0, src.tailBlkIdx);}}
","public void Append(BlockList<T> process){if (process.Size == 0){return;}int n = 0;for (; n < process.tailDirIdx; n++){Append(process.directory[n], 0, BLOCK_SIZE);if (process.tailBlkIdx!= 0){Append(process.tailBlock, 0, process.tailBlkIdx);}}}
",-1,"addAll,src,srcDirIdx","addAll:0.4766614215813974,src:0.6558531023356671,srcDirIdx:0.4461619800229788,",0,0,"src:process,addAll:shuffle,srcDirIdx:process,",0,0,Greedy,45,0.5781305273373921,failed,[],0.8572086966206746,0.4807294492901939
2,"public void writeByte(byte b) {if (upto == blockSize) {if (currentBlock != null) {addBlock(currentBlock);}currentBlock = new byte[blockSize];upto = 0;}currentBlock[upto++] = b;}
",52,"public void add(byte v) {if (this == blockSize) {if (this != null) {addBlock(this);}this = new byte[blockSize];this = 0;}this[this++] = v;}
","public override void WriteByte(byte b){if (outerInstance.upto == outerInstance.blockSize){if (outerInstance.currentBlock != null){outerInstance.blocks.Add(outerInstance.currentBlock);outerInstance.blockEnd.Add(outerInstance.upto);}outerInstance.currentBlock = new byte[outerInstance.blockSize];outerInstance.upto = 0;}outerInstance.currentBlock[outerInstance.upto++] = (byte)b;}
","public virtual void WriteByte(byte b){if (upto == blockSize){if (currentBlock!= null){AddBlock(currentBlock);}currentBlock = new byte[blockSize];upto = 0;}currentBlock[upto++] = b;}
","public virtual void Add(byte v){if (append == blockSize){if (this!= null){AddBlock(this);}this = new byte[blockSize];append = 0;}this[append++] = v;}
",-1,"writeByte,b,currentBlock,upto","writeByte:0.04412708541209143,b:0.04860957891253109,currentBlock:0.03166576131302973,upto:0.007076974738491809,",0,0,"b:v,writeByte:add,currentBlock:block,upto:put,",0,0,Greedy,54,0.40805894136428833,failed,[],0.14441875252956723,0.08486473490146829
3,"public ObjectId getObjectId() {return objectId;}
",10,"public ObjectId Id() {return objectId;}
","public virtual ObjectId GetObjectId(){return objectId;}
","public virtual ObjectId GetObjectId(){return objectId;}
","public virtual ObjectId Id(){return objectId;}
",-1,getObjectId,"getObjectId:0.4014414244369563,",0,0,"getObjectId:Id,",0,0,Greedy,6,0.009981465339660645,failed,[],0.75,0.3954739241427606
4,"public DeleteDomainEntryResult deleteDomainEntry(DeleteDomainEntryRequest request) {request = beforeClientExecution(request);return executeDeleteDomainEntry(request);}
",22,"public DeleteDomainEntryResult delete(DeleteDomainEntryRequest parent) {parent = beforeClientExecution(parent);return executeDeleteDomainEntry(parent);}
","public virtual DeleteDomainEntryResponse DeleteDomainEntry(DeleteDomainEntryRequest request){var options = new InvokeOptions();options.RequestMarshaller = DeleteDomainEntryRequestMarshaller.Instance;options.ResponseUnmarshaller = DeleteDomainEntryResponseUnmarshaller.Instance;return Invoke<DeleteDomainEntryResponse>(request, options);}
","public virtual DeleteDomainEntryResponse DeleteDomainEntry(DeleteDomainEntryRequest request){var options = new InvokeOptions();options.RequestMarshaller = DeleteDomainEntryRequestMarshaller.Instance;options.ResponseUnmarshaller = DeleteDomainEntryResponseUnmarshaller.Instance;return Invoke<DeleteDomainEntryResponse>(request, options);}
","public virtual DeleteDomainEntryResponse Delete(DeleteDomainEntryRequest parent){var options = new InvokeOptions();options.RequestMarshaller = DeleteDomainEntryRequestMarshaller.Instance;options.ResponseUnmarshaller = DeleteDomainEntryResponseUnmarshaller.Instance;return Invoke<DeleteDomainEntryResponse>(parent, options);}
",-1,"deleteDomainEntry,request","deleteDomainEntry:0.0,request:0.5003771484911024,",0,0,"request:parent,deleteDomainEntry:delete,",0,0,Greedy,21,0.18576424916585285,failed,[],1.0,0.22904609921627356
5,"public long ramBytesUsed() {return ((termOffsets!=null)? termOffsets.ramBytesUsed() : 0) +((termsDictOffsets!=null)? termsDictOffsets.ramBytesUsed() : 0);}
",40,"public long length() {return ((termOffsets!=null)? termOffsets.length() : 0) +((termsDictOffsets!=null)? termsDictOffsets.length() : 0);}
","public virtual long RamBytesUsed(){return fst == null ? 0 : fst.GetSizeInBytes();}
","public override long RamBytesUsed(){return ((termOffsets!= null)? termOffsets.RamBytesUsed() : 0) + ((termsDictOffsets!= null)? termsDictOffsets.RamBytesUsed() : 0);}
","public override long Length(){return ((termOffsets!= null)? termOffsets.Length : 0) + ((termsDictOffsets!= null)? termsDictOffsets.Length : 0);}
",-1,ramBytesUsed,"ramBytesUsed:0.06866716634361009,",0,0,"ramBytesUsed:length,",0,0,Greedy,9,0.0649177074432373,failed,[],0.4072648332641609,0.35839275684553906
6,"public final String getFullMessage() {byte[] raw = buffer;int msgB = RawParseUtils.tagMessage(raw, 0);if (msgB < 0) {return """"; }return RawParseUtils.decode(guessEncoding(), raw, msgB, raw.length);}
",56,"public final String get() {byte[] data = buffer;int 0 = RawParseUtils.tagMessage(data, 0);if (0 < 0) {return """"; }return RawParseUtils.decode(guessEncoding(), data, 0, data.length);}
","public string GetFullMessage(){byte[] raw = buffer;int msgB = RawParseUtils.TagMessage(raw, 0);if (msgB < 0){return string.Empty;}Encoding enc = RawParseUtils.ParseEncoding(raw);return RawParseUtils.Decode(enc, raw, msgB, raw.Length);}
","public string GetFullMessage(){byte[] raw = buffer;int msgB = RawParseUtils.TagMessage(raw, 0);if (msgB < 0){return string.Empty;}return RawParseUtils.Decode(GuessEncoding(), raw, msgB, raw.Length);}
","public string Get(){byte[] data = buffer;int 0 = RawParseUtils.TagMessage(data, 0);if (0 < 0){return """"; }return RawParseUtils.Decode(GuessEncoding(), data, 0, data.Length);}
",-1,"getFullMessage,raw,msgB","getFullMessage:0.3459935291786237,raw:0.5739658878286813,msgB:0.6017037128560643,",0,0,"msgB:0,raw:data,getFullMessage:get,",0,0,Greedy,36,0.3155346949895223,failed,[],0.6833535496457696,0.16149147016088994
7,"public POIFSFileSystem() {this(true);_header.setBATCount(1);_header.setBATArray(new int[]{1});BATBlock bb = BATBlock.createEmptyBATBlock(bigBlockSize, false);bb.setOurBlockIndex(1);_bat_blocks.add(bb);setNextBlock(0, POIFSConstants.END_OF_CHAIN);setNextBlock(1, POIFSConstants.FAT_SECTOR_BLOCK);_property_table.setStartBlock(0);}
",82,"public POIFSFileSystem() {synchronized(true);_header.setBATCount(1);_header.setBATArray(new int[]{1});BATBlock bb = BATBlock.createEmptyBATBlock(bigBlockSize, false);bb.setOurBlockIndex(1);_bat_blocks.add(bb);setNextBlock(0, POIFSConstants.END_OF_CHAIN);setNextBlock(1, POIFSConstants.FAT_SECTOR_BLOCK);_property_table.setStartBlock(0);}
","public POIFSFileSystem(){HeaderBlock headerBlock = new HeaderBlock(bigBlockSize);_property_table = new PropertyTable(headerBlock);_documents      = new ArrayList();_root           = null;}
","public POIFSFileSystem(){_header.BATCount = 1;_header.BATArray = new int[]{1};BATBlock bb = BATBlock.CreateEmptyBATBlock(bigBlockSize, false);bb.OurBlockIndex = 1;_bat_blocks.Add(bb);NextBlock(0, POIFSConstants.END_OF_CHAIN);NextBlock(1, POIFSConstants.FAT_SECTOR_BLOCK);_property_table.StartBlock = 0;}
","public POIFSFileSystem(){Init(true);_header.BATCount = 1;_header.BATArray = new int[]{1};BATBlock bb = BATBlock.CreateEmptyBATBlock(bigBlockSize, false);bb.OurBlockIndex = 1;_bat_blocks.Add(bb);NextBlock(0, POIFSConstants.END_OF_CHAIN);NextBlock(1, POIFSConstants.FAT_SECTOR_BLOCK);_property_table.StartBlock = 0;}
",-1,"this,bb","this:-0.05654172723564729,bb:0.03059666501281924,",0,0,"this:synchronized,",0,0,Greedy,14,0.22694228490193685,failed,[],0.1956033194547314,0.18550055610802296
8,"public void init(int address) {slice = pool.buffers[address >> ByteBlockPool.BYTE_BLOCK_SHIFT];assert slice != null;upto = address & ByteBlockPool.BYTE_BLOCK_MASK;offset0 = address;assert upto < slice.length;}
",46,"public void release(int 0) {buffers = pool.buffers[0 >> ByteBlockPool.BYTE_BLOCK_SHIFT];assert buffers != null;blocks = 0 & ByteBlockPool.BYTE_BLOCK_MASK;block = 0;assert blocks < buffers.length;}
","public void Init(int address){slice = pool.Buffers[address >> ByteBlockPool.BYTE_BLOCK_SHIFT];Debug.Assert(slice != null);upto = address & ByteBlockPool.BYTE_BLOCK_MASK;offset0 = address;Debug.Assert(upto < slice.Length);}
","public override void Init(int address){slice = pool.buffers[address >> ByteBlockPool.BYTE_BLOCK_SHIFT];Debug.Assert(slice!= null);upto = address & ByteBlockPool.BYTE_BLOCK_MASK;offset0 = address;Debug.Assert(upto < slice.Length);}
","public override void Release(int i){buffers = pool.buffers[i >> ByteBlockPool.BYTE_BLOCK_SHIFT];Debug.Assert(buffers!= null);start = i & ByteBlockPool.BYTE_BLOCK_MASK;block = 0;Debug.Assert(start < buffers.Length);}
",-1,"init,address,slice,upto,offset0","init:0.580949647141847,address:0.6844653320285425,slice:0.579569597527888,upto:0.48532630219361145,offset0:0.6359460591947614,",0,0,"address:0,offset0:block,init:release,slice:free,upto:start,",0,0,Greedy,89,0.8390422781308492,failed,[],0.8438284997447196,0.3161834942183823
9,"public SubmoduleAddCommand setPath(String path) {this.path = path;return this;}
",18,"public SubmoduleAddCommand path(String Path) {this.Path = Path;return this;}
","public virtual NGit.Api.SubmoduleAddCommand SetPath(string path){this.path = path;return this;}
","public virtual NGit.Api.SubmoduleAddCommand SetPath(string path){this.path = path;return this;}
","public virtual NGit.Api.SubmoduleAddCommand Path(string path){this.Path = path;return this;}
",-1,"setPath,path","setPath:0.48283443258760395,path:0.7019992470265692,",0,0,"path:Path,setPath:path,",0,0,Greedy,15,0.05461165110270182,failed,[],1.0,0.5345363077595704
